source,target,weight
"Chu, Yong-Kyu","Kelvin, David J.",1
"Danesh, Ali","Fang, Yuan",1
"Danesh, Ali","Li, Qianjun",1
"Anderson, Austin","Danesh, Ali",1
"Couch, Ronald C.","Danesh, Ali",1
"Danesh, Ali","Paquette, Stephane G.",1
"Danesh, Ali","Fomukong, Ndingsa G.",1
"Danesh, Ali","Kistner, Otfried",1
"Danesh, Ali","Lauchart, Manfred",1
"Danesh, Ali","Rowe, Thomas",1
"Danesh, Ali","Harrod, Kevin S.",1
"Danesh, Ali","Jonsson, Colleen B.",1
"Danesh, Ali","Kelvin, David J.",1
"Fang, Yuan","Li, Qianjun",1
"Anderson, Austin","Fang, Yuan",1
"Couch, Ronald C.","Fang, Yuan",1
"Fang, Yuan","Paquette, Stephane G.",1
"Fang, Yuan","Fomukong, Ndingsa G.",1
"Fang, Yuan","Kistner, Otfried",1
"Fang, Yuan","Lauchart, Manfred",1
"Fang, Yuan","Rowe, Thomas",1
"Fang, Yuan","Harrod, Kevin S.",1
"Fang, Yuan","Jonsson, Colleen B.",1
"Fang, Yuan","Kelvin, David J.",1
"Anderson, Austin","Li, Qianjun",1
"Couch, Ronald C.","Li, Qianjun",1
"Li, Qianjun","Paquette, Stephane G.",1
"Fomukong, Ndingsa G.","Li, Qianjun",1
"Kistner, Otfried","Li, Qianjun",1
"Lauchart, Manfred","Li, Qianjun",1
"Li, Qianjun","Rowe, Thomas",1
"Harrod, Kevin S.","Li, Qianjun",1
"Jonsson, Colleen B.","Li, Qianjun",1
"Kelvin, David J.","Li, Qianjun",1
"Anderson, Austin","Couch, Ronald C.",1
"Anderson, Austin","Paquette, Stephane G.",1
"Anderson, Austin","Fomukong, Ndingsa G.",1
"Anderson, Austin","Kistner, Otfried",1
"Anderson, Austin","Lauchart, Manfred",1
"Anderson, Austin","Rowe, Thomas",1
"Anderson, Austin","Harrod, Kevin S.",1
"Anderson, Austin","Jonsson, Colleen B.",1
"Anderson, Austin","Kelvin, David J.",1
"Couch, Ronald C.","Paquette, Stephane G.",1
"Couch, Ronald C.","Fomukong, Ndingsa G.",1
"Couch, Ronald C.","Kistner, Otfried",1
"Couch, Ronald C.","Lauchart, Manfred",1
"Couch, Ronald C.","Rowe, Thomas",1
"Couch, Ronald C.","Harrod, Kevin S.",1
"Couch, Ronald C.","Jonsson, Colleen B.",1
"Couch, Ronald C.","Kelvin, David J.",1
"Fomukong, Ndingsa G.","Paquette, Stephane G.",1
"Kistner, Otfried","Paquette, Stephane G.",1
"Lauchart, Manfred","Paquette, Stephane G.",1
"Paquette, Stephane G.","Rowe, Thomas",1
"Harrod, Kevin S.","Paquette, Stephane G.",1
"Jonsson, Colleen B.","Paquette, Stephane G.",1
"Kelvin, David J.","Paquette, Stephane G.",1
"Fomukong, Ndingsa G.","Kistner, Otfried",1
"Fomukong, Ndingsa G.","Lauchart, Manfred",1
"Fomukong, Ndingsa G.","Rowe, Thomas",1
"Fomukong, Ndingsa G.","Harrod, Kevin S.",1
"Fomukong, Ndingsa G.","Jonsson, Colleen B.",1
"Fomukong, Ndingsa G.","Kelvin, David J.",1
"Kistner, Otfried","Lauchart, Manfred",1
"Kistner, Otfried","Rowe, Thomas",1
"Harrod, Kevin S.","Kistner, Otfried",1
"Jonsson, Colleen B.","Kistner, Otfried",1
"Kelvin, David J.","Kistner, Otfried",1
"Lauchart, Manfred","Rowe, Thomas",1
"Harrod, Kevin S.","Lauchart, Manfred",1
"Jonsson, Colleen B.","Lauchart, Manfred",1
"Kelvin, David J.","Lauchart, Manfred",1
"Harrod, Kevin S.","Rowe, Thomas",1
"Jonsson, Colleen B.","Rowe, Thomas",1
"Kelvin, David J.","Rowe, Thomas",1
"Harrod, Kevin S.","Jonsson, Colleen B.",1
"Harrod, Kevin S.","Kelvin, David J.",1
"Jonsson, Colleen B.","Kelvin, David J.",1
